
Quadro extraído em 10 de Junho de 2026 (16:28:10)
http://www.ine.pt



Período de referência dos dados;Local de residência à data dos Censos [2021] (NUTS - 2013);População residente (N.º) por Local de residência à data dos Censos [2021] (NUTS - 2013), Sexo e Grupo etário (Por ciclos de vida) -  Decenal;;;;;;;;;;;;
;;Sexo;;;;;;;;;;;;
;;HM;;;;H;;;;M;;;;
;;Grupo etário (Por ciclos de vida);;;;;;;;;;;;
;;Total;15 - 24 anos;25 - 64 anos;65 e mais anos;Total;15 - 24 anos;25 - 64 anos;65 e mais anos;Total;15 - 24 anos;25 - 64 anos;65 e mais anos;
;;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
;0412: Vinhais;7768;455;3365;3450;3802;246;1705;1587;3966;209;1660;1863;
;1001: Alcobaça;54965;5778;28484;14267;26493;3047;13951;6263;28472;2731;14533;8004;
;1101: Alenquer;44442;4958;23833;8988;21578;2595;11627;3935;22864;2363;12206;5053;
;1102: Arruda dos Vinhos;13992;1647;7338;2714;6835;892;3592;1171;7157;755;3746;1543;
;1005: Bombarral;12746;1221;6445;3505;6112;597;3121;1555;6634;624;3324;1950;
;1104: Cadaval;13372;1308;6500;4029;6417;676;3173;1786;6955;632;3327;2243;
;1006: Caldas da Rainha;50910;5355;26298;13091;23998;2730;12443;5694;26912;2625;13855;7397;
;1108: Lourinhã;26240;2650;13404;6670;12691;1363;6482;3020;13549;1287;6922;3650;
;1011: Nazaré;14881;1414;7703;3900;7085;739;3737;1703;7796;675;3966;2197;
;1012: Óbidos;11922;1157;6110;3188;5829;632;2998;1460;6093;525;3112;1728;
;1014: Peniche;26429;2624;13390;6890;12689;1363;6465;3026;13740;1261;6925;3864;
;1112: Sobral de Monte Agraço;10540;1163;5615;2169;5075;588;2737;937;5465;575;2878;1232;
;1113: Torres Vedras;83072;8922;44235;18919;40158;4584;21625;8358;42914;4338;22610;10561;
;0101: Águeda;46119;4532;24173;11858;22125;2260;11697;5293;23994;2272;12476;6565;
;0102: Albergaria-a-Velha;24840;2628;13355;5666;12069;1356;6540;2543;12771;1272;6815;3123;
;0103: Anadia;27532;2599;13860;8112;13151;1332;6725;3529;14381;1267;7135;4583;
;0105: Aveiro;80954;8409;45042;17012;38442;4197;21465;7362;42512;4212;23577;9650;
;0108: Estarreja;26213;2709;13815;6394;12690;1393;6831;2751;13523;1316;6984;3643;
;0110: Ílhavo;39235;4046;21467;8445;18635;2069;10224;3679;20600;1977;11243;4766;
;0112: Murtosa;10476;1075;5415;2583;5047;555;2666;1111;5429;520;2749;1472;
;0114: Oliveira do Bairro;23132;2411;12052;5448;10973;1213;5765;2347;12159;1198;6287;3101;
;0115: Ovar;54953;5980;30361;11800;26331;3060;14633;5156;28622;2920;15728;6644;
;0117: Sever do Vouga;11063;1101;5579;3259;5347;599;2747;1428;5716;502;2832;1831;
;0118: Vagos;22886;2335;11987;5508;10990;1183;5816;2429;11896;1152;6171;3079;
;0601: Arganil;11065;879;5389;3682;5290;439;2685;1608;5775;440;2704;2074;
;0602: Cantanhede;34212;3176;16792;10370;16148;1609;8049;4466;18064;1567;8743;5904;
;0603: Coimbra;140816;13885;74877;35534;65451;6888;35346;14759;75365;6997;39531;20775;
;0604: Condeixa-a-Nova;16732;1684;8952;3813;7814;880;4202;1562;8918;804;4750;2251;
;0605: Figueira da Foz;58951;5619;30071;16671;27883;2879;14370;7215;31068;2740;15701;9456;
;0606: Góis;3811;314;1743;1438;1768;170;856;599;2043;144;887;839;
;0607: Lousã;17006;1773;9088;3888;8196;930;4364;1714;8810;843;4724;2174;
;0111: Mealhada;19348;1905;10194;5028;9255;1016;4949;2137;10093;889;5245;2891;
;0608: Mira;12113;1056;5930;3729;5756;575;2870;1586;6357;481;3060;2143;
;0609: Miranda do Corvo;12002;1246;6236;3232;5756;648;3068;1388;6246;598;3168;1844;
;0610: Montemor-o-Velho;24571;2199;12967;6398;11797;1134;6333;2765;12774;1065;6634;3633;
;1808: Mortágua;8963;704;4274;3137;4259;362;2103;1378;4704;342;2171;1759;
;0611: Oliveira do Hospital;19413;1917;9874;5508;9300;1005;4809;2378;10113;912;5065;3130;
;0612: Pampilhosa da Serra;4082;222;1718;1872;1903;112;875;779;2179;110;843;1093;
;0613: Penacova;13113;1204;6482;4209;6167;584;3194;1764;6946;620;3288;2445;
;0614: Penela;5440;454;2679;1739;2597;240;1345;735;2843;214;1334;1004;
;0615: Soure;17261;1495;8227;5778;8167;788;4014;2448;9094;707;4213;3330;
;0616: Tábua;11160;1060;5534;3323;5286;491;2717;1449;5874;569;2817;1874;
;0617: Vila Nova de Poiares;6803;697;3596;1755;3195;358;1716;758;3608;339;1880;997;
;1002: Alvaiázere;6238;518;2852;2312;2908;261;1403;952;3330;257;1449;1360;
;1003: Ansião;11642;1111;5584;3773;5523;576;2749;1599;6119;535;2835;2174;
;1004: Batalha;15557;1623;8163;3578;7533;815;3940;1645;8024;808;4223;1933;
;1007: Castanheira de Pêra;2645;222;1210;1013;1247;123;590;433;1398;99;620;580;
;1008: Figueiró dos Vinhos;5281;400;2535;1858;2504;215;1239;782;2777;185;1296;1076;
;1009: Leiria;128603;13832;69159;28635;61858;7162;33382;12572;66745;6670;35777;16063;
;1010: Marinha Grande;39024;4068;20813;9092;18841;2078;10118;4107;20183;1990;10695;4985;
;1013: Pedrógão Grande;3390;297;1620;1204;1611;152;809;510;1779;145;811;694;
;1015: Pombal;51170;5087;25311;14827;24371;2550;12304;6437;26799;2537;13007;8390;
;1016: Porto de Mós;23202;2526;12006;5794;11272;1334;5940;2515;11930;1192;6066;3279;
;0901: Aguiar da Beira;5231;414;2370;2012;2456;224;1152;864;2775;190;1218;1148;
;1802: Carregal do Sal;9038;863;4308;2862;4234;422;2078;1229;4804;441;2230;1633;
;1803: Castro Daire;13736;1324;6636;4445;6536;672;3294;1897;7200;652;3342;2548;
;1806: Mangualde;18303;1845;9033;5399;8736;968;4364;2394;9567;877;4669;3005;
;1809: Nelas;13119;1286;6290;4021;6198;687;3000;1724;6921;599;3290;2297;
;1810: Oliveira de Frades;9506;1027;4952;2366;4561;538;2427;1009;4945;489;2525;1357;
;1811: Penalva do Castelo;7333;680;3340;2563;3507;355;1630;1110;3826;325;1710;1453;
;1814: Santa Comba Dão;10641;981;5032;3459;5023;489;2402;1523;5618;492;2630;1936;
;1816: São Pedro do Sul;15137;1514;7167;4967;7146;774;3490;2120;7991;740;3677;2847;
;1817: Sátão;11030;1122;5335;3369;5215;564;2583;1445;5815;558;2752;1924;
;1821: Tondela;25910;2454;12586;8274;12247;1305;6024;3587;13663;1149;6562;4687;
;1822: Vila Nova de Paiva;4662;441;2224;1530;2235;215;1094;659;2427;226;1130;871;
;1823: Viseu;99551;10626;52420;23480;46802;5387;24585;10203;52749;5239;27835;13277;
;1824: Vouzela;9580;944;4658;3020;4515;484;2265;1300;5065;460;2393;1720;
;0502: Castelo Branco;52272;4850;26589;14874;24703;2508;12701;6497;27569;2342;13888;8377;
;0505: Idanha-a-Nova;8355;598;3455;3577;3998;314;1775;1522;4357;284;1680;2055;
;0506: Oleiros;4904;292;2087;2238;2333;138;1086;953;2571;154;1001;1285;
;0507: Penamacor;4768;288;2041;2118;2349;162;1089;919;2419;126;952;1199;
;0508: Proença-a-Nova;7167;546;3284;2746;3469;279;1707;1181;3698;267;1577;1565;
;0511: Vila Velha de Ródão;3285;195;1299;1501;1565;102;663;647;1720;93;636;854;
;1401: Abrantes;34329;3207;16921;10687;16434;1716;8418;4506;17895;1491;8503;6181;
;1402: Alcanena;12472;1224;6207;3547;5994;650;3057;1525;6478;574;3150;2022;
;1408: Constância;3798;387;1953;988;1823;199;956;428;1975;188;997;560;
;1410: Entroncamento;20141;2175;10794;4216;9489;1089;5123;1784;10652;1086;5671;2432;
;1411: Ferreira do Zêzere;7800;714;3688;2545;3686;378;1811;1068;4114;336;1877;1477;
;1413: Mação;6402;467;2750;2694;3061;252;1418;1145;3341;215;1332;1549;
;1421: Ourém;44538;4738;22475;11946;20898;2372;10902;4865;23640;2366;11573;7081;
;1417: Sardoal;3513;320;1749;1138;1692;178;882;478;1821;142;867;660;
;0509: Sertã;14769;1414;7177;4594;7114;748;3540;2007;7655;666;3637;2587;
;1418: Tomar;36413;3554;17929;11139;17079;1839;8608;4635;19334;1715;9321;6504;
;1419: Torres Novas;34111;3334;16984;9658;16248;1731;8244;4122;17863;1603;8740;5536;
;0510: Vila de Rei;3279;278;1365;1340;1538;152;685;550;1741;126;680;790;
;1420: Vila Nova da Barquinha;7016;666;3508;1937;3309;338;1704;832;3707;328;1804;1105;
;0902: Almeida;5887;412;2517;2598;2748;208;1284;1073;3139;204;1233;1525;
;0501: Belmonte;6205;509;3042;1997;2962;252;1508;861;3243;257;1534;1136;
;0903: Celorico da Beira;6583;581;3072;2311;3118;305;1498;1007;3465;276;1574;1304;
;0503: Covilhã;46455;4402;23387;13840;22081;2266;11438;5916;24374;2136;11949;7924;
;0904: Figueira de Castelo Rodrigo;5148;392;2292;1956;2454;207;1151;846;2694;185;1141;1110;
;0905: Fornos de Algodres;4403;365;2040;1598;2039;171;1015;663;2364;194;1025;935;
;0504: Fundão;26503;2328;12882;8614;12741;1243;6393;3717;13762;1085;6489;4897;
;0906: Gouveia;12222;977;5458;4669;5705;513;2639;1997;6517;464;2819;2672;
